Height_M,Weight_kg,Fat_age,BMI
1.6,49.44,23.9,19.31
1.65,62.6,28.8,22.96
1.65,75.75,32.4,27.79
1.53,48.99,25.8,20.92
1.45,43.09,22.5,20.38
1.61,52.62,22.1,20.39
1.56,47.97,19.6,19.66
1.5,45.59,25.3,20.3
1.52,47.85,22.8,20.6
1.48,44.45,26.4,20.31
1.47,46.04,33.7,21.21
1.55,53.07,27.9,22.11
1.52,65.88,33.5,28.6
1.54,46.04,23.4,19.5
1.46,43.54,21.8,20.41
1.52,62.37,37.9,26.85
1.46,45.81,31.3,21.48
1.58,74.39,40.6,29.76
1.52,55.57,36.3,23.92
1.5,46.15,29.8,20.55
1.49,47.85,31.9,21.67
1.48,42.18,31.3,19.27
1.59,45.81,21.6,18.18
1.56,44.68,24.6,18.46
1.58,42.64,20.1,17.05
1.57,43.54,24.6,17.7
1.5,37.31,18.1,16.61
1.52,39.35,22.9,16.94
1.44,39.01,26.2,18.77
1.49,40.6,27.2,18.39
1.46,38.1,17.7,17.86
1.5,40.37,20.8,17.98
1.56,37.19,17.5,15.37
1.53,44.11,21.3,18.84
1.45,33.45,18.7,15.82
1.63,47.17,28.8,17.71
1.42,30.05,17.1,14.99
1.38,32.09,26.2,16.75
1.45,34.81,20.4,16.46
1.5,35.95,19.5,15.87
1.49,39.92,21.7,18.08
1.45,32.66,18.1,15.58
1.33,30.5,29.8,17.15
1.37,29.48,20.6,15.82
1.55,44.68,22.9,18.61
1.45,34.93,19.3,16.66
1.47,54.54,38.4,25.13
1.59,52.5,27.9,20.83
1.44,51.03,36.4,24.56
1.6,51.71,25.1,20.19
1.58,60.33,39.7,24.13
1.42,47.85,33.6,23.86
1.58,83.91,46,33.57
1.55,69.97,38.9,29.14
1.64,77.34,42.2,28.59
1.49,58.29,36.7,26.17
1.59,87.54,38,34.46
1.55,45.81,23.3,19.08
1.42,47.63,35.9,23.54
1.62,53.07,24.1,20.24
1.66,80.74,40.8,29.17
1.47,45.25,25.7,20.85
1.49,50.46,37.6,22.66
1.65,81.99,35.9,30.08
1.53,52.96,36.3,22.61
1.59,61.23,33,24.3
1.53,73.37,40.5,31.33
1.57,59.87,26.4,24.14
1.43,47.97,27.3,23.5
1.61,63.96,32.2,24.78
1.55,46.72,19.6,19.46
1.47,41.28,24.5,19.02
1.5,45.36,22.6,20.2
1.66,57.27,30.2,20.69
1.42,38.78,26.9,19.17
1.5,46.95,30.2,20.73
1.35,29.26,21,16.14
1.42,35.83,19.4,17.71
1.47,34.93,21.1,16.09
1.52,38.56,17.3,16.74
1.46,40.37,20.5,18.93
1.46,36.74,19.3,17.22
1.42,37.19,28.7,18.38
1.47,39.46,18.3,18.18
1.47,36.74,15.6,17.08
1.59,44.45,23.9,17.64
1.49,41.62,24.5,18.69
1.49,39.01,23.3,17.52
1.6,41.28,20.1,16.12
1.42,38.1,30.3,18.83
1.4,30.16,20.6,15.46
1.45,38.56,26,18.39
