Policy_Num,Claim_Dt,Accident_Dt,Claim_Amt,Policy_Type,Gender,State,Claims_FB
193064198,10/5/2019,9/21/2019,995.41,Truck,Female,CA,very_good
184583553,1/23/2019,1/14/2019,1096.28,Car,Male,CA,very_good
190848083,2/1/2019,1/19/2019,1339.15,Truck,Female,CA,neutral
190871786,11/11/2019,11/6/2019,1276.47,Car,Male,CA,good
197539028,10/3/2019,9/5/2019,881.59,Van,Male,NV,very_good
199965865,10/15/2019,10/10/2019,1072.32,Car,Female,CA,good
186381910,6/5/2019,5/25/2019,1241.22,Car,Male,OR,very_good
196599730,4/16/2019,4/7/2019,1352.4,Car,Male,CA,neutral
182231040,1/24/2019,1/18/2019,975.8,Van,Male,OR,neutral
192175438,7/1/2019,6/14/2019,1051.36,Car,Female,OR,good
196791342,1/6/2019,12/18/2018,814.03,Car,Female,CA,neutral
183447190,1/10/2019,1/9/2019,1137.09,Truck,Female,CA,very_good
183765743,12/25/2019,12/8/2019,1341.54,Van,Female,CA,neutral
185630549,9/5/2019,8/2/2019,1074.85,Van,Female,OR,excellent
191888437,7/30/2019,7/8/2019,768.7,Van,Male,CA,neutral
182219457,10/6/2019,9/3/2019,998.75,Car,Female,CA,neutral
194792814,10/13/2019,9/28/2019,943.56,Car,Female,NV,bad
180511975,4/10/2019,4/6/2019,1104.4,Van,Male,OR,good
192308017,2/11/2019,2/4/2019,1191.95,Van,Male,CA,very_good
196705181,3/7/2019,2/27/2019,788.84,Car,Male,NV,good
190334675,10/12/2019,9/8/2019,936.73,Van,Male,CA,good
196264810,8/24/2019,8/12/2019,1220.9,Van,Male,OR,good
189164645,8/28/2019,7/25/2019,1127.12,Car,Male,CA,very_good
198999370,5/13/2019,5/10/2019,1308.47,Car,Male,OR,bad
192558305,8/26/2019,7/25/2019,1034.63,Truck,Male,OR,bad
192587608,9/18/2019,9/6/2019,906.95,Truck,Female,CA,good
197448161,2/22/2019,2/15/2019,1131.22,Van,Female,CA,neutral
183070585,4/21/2019,4/6/2019,1000.71,Van,Male,CA,very_good
191767799,3/9/2019,2/22/2019,822.17,Car,Female,CA,very_good
184286684,12/12/2019,12/10/2019,786.11,Car,Female,OR,excellent
198605050,5/15/2019,5/3/2019,1171.57,Van,Male,NV,very_good
182929484,5/11/2019,4/10/2019,987.38,Truck,Male,OR,excellent
191279230,6/19/2019,6/3/2019,1156.59,Car,Female,NV,good
199324652,10/24/2019,10/12/2019,919.63,Car,Male,NV,neutral
184229388,10/21/2019,10/17/2019,1086.87,Car,Male,CA,bad
191757448,3/13/2019,3/10/2019,1158.01,Van,Male,CA,excellent
189053674,6/23/2019,5/29/2019,1104.77,Car,Male,OR,neutral
195759283,11/7/2019,10/20/2019,829.86,Van,Female,OR,good
180521129,8/15/2019,7/14/2019,978.49,Van,Male,CA,good
191185895,10/5/2019,9/5/2019,1233.83,Car,Male,CA,good
196528002,9/9/2019,9/4/2019,1093.32,Van,Male,OR,good
181018397,12/20/2019,12/7/2019,1211.06,Truck,Male,CA,neutral
198716955,12/29/2019,12/17/2019,1126.25,Car,Female,NV,neutral
183871488,5/19/2019,5/14/2019,1166.59,Car,Female,CA,bad
193096038,4/22/2019,4/17/2019,829.76,Car,Female,CA,neutral
180307584,6/24/2019,6/8/2019,1350.99,Car,Female,OR,bad
185784910,4/19/2019,4/1/2019,997.61,Car,Male,CA,good
198611030,9/11/2019,8/11/2019,1220.74,Van,Male,CA,neutral
197361101,8/17/2019,8/2/2019,996.81,Van,Male,OR,very_good
199146086,12/16/2019,11/13/2019,883.26,Van,Female,OR,very_good
189471407,3/25/2019,3/9/2019,813,Truck,Female,CA,very_good
183149462,4/12/2019,4/1/2019,985.86,Truck,Male,OR,very_good
189887120,11/25/2019,10/28/2019,961.36,Car,Female,CA,neutral
184615678,3/13/2019,2/10/2019,925.25,Truck,Male,OR,neutral
197932703,5/13/2019,5/5/2019,1065.92,Truck,Female,CA,good
195473216,10/28/2019,10/22/2019,1006.14,Van,Male,CA,very_good
181354249,9/7/2019,8/10/2019,1290.33,Van,Female,NV,excellent
185139906,11/7/2019,11/3/2019,1026.87,Car,Male,CA,good
188358659,6/3/2019,5/28/2019,1227.59,Car,Male,CA,very_good
196857914,11/18/2019,11/1/2019,1171.75,Car,Female,CA,bad
196944528,6/12/2019,6/3/2019,1071.33,Van,Female,OR,neutral
180393622,10/21/2019,10/18/2019,869.28,Van,Female,CA,good
197830182,12/26/2019,11/29/2019,1064.21,Car,Female,CA,neutral
182982543,2/28/2019,2/8/2019,1181.91,Car,Male,CA,bad
186080642,11/11/2019,11/9/2019,927.62,Car,Male,OR,neutral
